> [28.08.2025 20:36:47] | [Log]    Created new window
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:49] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:50] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:51] | [Info]    resized
> [28.08.2025 20:36:53] | [Info]    Closing the window
