> [28.08.2025 20:47:49] | [Log]    Created new window
> [28.08.2025 20:47:49] | [Info]    Created shader handle 3
> [28.08.2025 20:47:49] | [Info]    Created shader handle 4
> [28.08.2025 20:47:49] | [Info]    Created Texture2D handle 1
> [28.08.2025 20:47:49] | [Info]    Created Texture2D handle 2
> [28.08.2025 20:47:49] | [Info]    Created a mesh SteelMotion_Data\assets\model3.semp from offset 0
> [28.08.2025 20:47:50] | [Info]    resized  600   798
> [28.08.2025 20:47:51] | [Info]    resized  600   797
> [28.08.2025 20:47:51] | [Info]    resized  600   795
> [28.08.2025 20:47:51] | [Info]    resized  600   793
> [28.08.2025 20:47:51] | [Info]    resized  600   792
> [28.08.2025 20:47:51] | [Info]    resized  600   791
> [28.08.2025 20:47:51] | [Info]    resized  600   793
> [28.08.2025 20:47:53] | [Info]    resized  601   793
> [28.08.2025 20:47:53] | [Info]    resized  603   793
> [28.08.2025 20:47:53] | [Info]    resized  608   793
> [28.08.2025 20:47:53] | [Info]    resized  616   793
> [28.08.2025 20:47:54] | [Info]    resized  626   793
> [28.08.2025 20:47:54] | [Info]    resized  638   793
> [28.08.2025 20:47:54] | [Info]    resized  656   793
> [28.08.2025 20:47:54] | [Info]    resized  677   793
> [28.08.2025 20:47:54] | [Info]    resized  703   793
> [28.08.2025 20:47:54] | [Info]    resized  733   793
> [28.08.2025 20:47:54] | [Info]    resized  767   793
> [28.08.2025 20:47:54] | [Info]    resized  803   793
> [28.08.2025 20:47:54] | [Info]    resized  840   793
> [28.08.2025 20:47:54] | [Info]    resized  878   793
> [28.08.2025 20:47:54] | [Info]    resized  913   793
> [28.08.2025 20:47:54] | [Info]    resized  947   793
> [28.08.2025 20:47:54] | [Info]    resized  977   793
> [28.08.2025 20:47:54] | [Info]    resized  1001   793
> [28.08.2025 20:47:54] | [Info]    resized  1018   793
> [28.08.2025 20:47:54] | [Info]    resized  1028   793
> [28.08.2025 20:47:54] | [Info]    resized  1033   793
> [28.08.2025 20:47:54] | [Info]    resized  1036   793
> [28.08.2025 20:47:54] | [Info]    resized  1037   793
> [28.08.2025 20:47:54] | [Info]    resized  1038   793
> [28.08.2025 20:48:15] | [Info]    resized  1039   793
> [28.08.2025 20:48:15] | [Info]    resized  1041   793
> [28.08.2025 20:48:15] | [Info]    resized  1047   795
> [28.08.2025 20:48:15] | [Info]    resized  1052   796
> [28.08.2025 20:48:15] | [Info]    resized  1059   799
> [28.08.2025 20:48:15] | [Info]    resized  1069   801
