> [28.08.2025 20:49:27] | [Log]    Created new window
> [28.08.2025 20:49:27] | [Info]    Created shader handle 3
> [28.08.2025 20:49:27] | [Info]    Created shader handle 4
> [28.08.2025 20:49:27] | [Info]    Created Texture2D handle 1
> [28.08.2025 20:49:27] | [Info]    Created Texture2D handle 2
> [28.08.2025 20:49:27] | [Info]    Created a mesh SteelMotion_Data\assets\model3.semp from offset 0
> [28.08.2025 20:49:28] | [Info]    resized  601   800
> [28.08.2025 20:49:29] | [Info]    resized  608   800
> [28.08.2025 20:49:29] | [Info]    resized  621   800
> [28.08.2025 20:49:29] | [Info]    resized  642   800
> [28.08.2025 20:49:29] | [Info]    resized  676   800
> [28.08.2025 20:49:29] | [Info]    resized  718   800
> [28.08.2025 20:49:29] | [Info]    resized  770   800
> [28.08.2025 20:49:29] | [Info]    resized  826   800
> [28.08.2025 20:49:29] | [Info]    resized  885   800
> [28.08.2025 20:49:29] | [Info]    resized  946   800
> [28.08.2025 20:49:29] | [Info]    resized  1005   800
> [28.08.2025 20:49:29] | [Info]    resized  1058   800
> [28.08.2025 20:49:29] | [Info]    resized  1108   800
> [28.08.2025 20:49:29] | [Info]    resized  1157   800
> [28.08.2025 20:49:29] | [Info]    resized  1210   800
> [28.08.2025 20:49:29] | [Info]    resized  1265   800
> [28.08.2025 20:49:29] | [Info]    resized  1317   800
> [28.08.2025 20:49:29] | [Info]    resized  1366   800
> [28.08.2025 20:49:29] | [Info]    resized  1413   800
> [28.08.2025 20:49:29] | [Info]    resized  1453   800
> [28.08.2025 20:49:29] | [Info]    resized  1488   800
> [28.08.2025 20:49:29] | [Info]    resized  1516   800
> [28.08.2025 20:49:29] | [Info]    resized  1538   800
> [28.08.2025 20:49:29] | [Info]    resized  1555   800
> [28.08.2025 20:49:29] | [Info]    resized  1565   800
> [28.08.2025 20:49:29] | [Info]    resized  1571   800
> [28.08.2025 20:49:29] | [Info]    resized  1573   800
> [28.08.2025 20:49:29] | [Info]    resized  1575   800
> [28.08.2025 20:49:29] | [Info]    resized  1577   800
> [28.08.2025 20:49:29] | [Info]    resized  1574   800
> [28.08.2025 20:49:29] | [Info]    resized  1569   800
> [28.08.2025 20:49:31] | [Info]    resized  1569   801
> [28.08.2025 20:49:31] | [Info]    resized  1569   805
> [28.08.2025 20:49:31] | [Info]    resized  1569   811
> [28.08.2025 20:49:31] | [Info]    resized  1569   817
> [28.08.2025 20:49:31] | [Info]    resized  1569   826
> [28.08.2025 20:49:31] | [Info]    resized  1569   838
> [28.08.2025 20:49:31] | [Info]    resized  1569   852
> [28.08.2025 20:49:31] | [Info]    resized  1569   866
> [28.08.2025 20:49:31] | [Info]    resized  1569   880
> [28.08.2025 20:49:31] | [Info]    resized  1569   893
> [28.08.2025 20:49:31] | [Info]    resized  1569   906
> [28.08.2025 20:49:31] | [Info]    resized  1569   916
> [28.08.2025 20:49:31] | [Info]    resized  1569   926
> [28.08.2025 20:49:31] | [Info]    resized  1569   935
> [28.08.2025 20:49:31] | [Info]    resized  1569   940
> [28.08.2025 20:49:31] | [Info]    resized  1569   943
> [28.08.2025 20:49:31] | [Info]    resized  1569   1008
> [28.08.2025 20:49:32] | [Info]    resized  1569   800
> [28.08.2025 20:49:33] | [Info]    resized  1569   799
> [28.08.2025 20:49:33] | [Info]    resized  1569   798
> [28.08.2025 20:49:33] | [Info]    resized  1569   794
> [28.08.2025 20:49:33] | [Info]    resized  1569   788
