> [28.08.2025 20:46:45] | [Log]    Created new window
> [28.08.2025 20:46:45] | [Info]    Created shader handle 3
> [28.08.2025 20:46:45] | [Info]    Created shader handle 4
> [28.08.2025 20:46:45] | [Info]    Created Texture2D handle 1
> [28.08.2025 20:46:45] | [Info]    Created Texture2D handle 2
> [28.08.2025 20:46:45] | [Info]    Created a mesh SteelMotion_Data\assets\model3.semp from offset 0
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:47] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:49] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:51] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:53] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:54] | [Info]    resized
> [28.08.2025 20:46:55] | [Info]    resized
> [28.08.2025 20:46:55] | [Info]    resized
> [28.08.2025 20:46:55] | [Info]    resized
> [28.08.2025 20:46:55] | [Info]    resized
> [28.08.2025 20:46:55] | [Info]    resized
> [28.08.2025 20:46:55] | [Info]    resized
> [28.08.2025 20:46:55] | [Info]    resized
> [28.08.2025 20:46:55] | [Info]    resized
