> [28.08.2025 20:48:31] | [Log]    Created new window
> [28.08.2025 20:48:31] | [Info]    Created shader handle 3
> [28.08.2025 20:48:31] | [Info]    Created shader handle 4
> [28.08.2025 20:48:31] | [Info]    Created Texture2D handle 1
> [28.08.2025 20:48:31] | [Info]    Created Texture2D handle 2
> [28.08.2025 20:48:31] | [Info]    Created a mesh SteelMotion_Data\assets\model3.semp from offset 0
> [28.08.2025 20:48:32] | [Info]    resized  605   800
> [28.08.2025 20:48:32] | [Info]    resized  610   800
> [28.08.2025 20:48:32] | [Info]    resized  620   800
> [28.08.2025 20:48:32] | [Info]    resized  634   800
> [28.08.2025 20:48:32] | [Info]    resized  655   800
> [28.08.2025 20:48:32] | [Info]    resized  682   800
> [28.08.2025 20:48:32] | [Info]    resized  714   800
> [28.08.2025 20:48:32] | [Info]    resized  754   800
> [28.08.2025 20:48:32] | [Info]    resized  798   800
> [28.08.2025 20:48:32] | [Info]    resized  843   800
> [28.08.2025 20:48:32] | [Info]    resized  888   800
> [28.08.2025 20:48:32] | [Info]    resized  929   800
> [28.08.2025 20:48:32] | [Info]    resized  967   800
> [28.08.2025 20:48:32] | [Info]    resized  999   800
> [28.08.2025 20:48:32] | [Info]    resized  1025   800
> [28.08.2025 20:48:32] | [Info]    resized  1045   800
> [28.08.2025 20:48:32] | [Info]    resized  1058   800
> [28.08.2025 20:48:32] | [Info]    resized  1065   800
> [28.08.2025 20:48:32] | [Info]    resized  1068   800
> [28.08.2025 20:48:32] | [Info]    resized  1066   800
> [28.08.2025 20:48:32] | [Info]    resized  1059   800
> [28.08.2025 20:48:34] | [Info]    resized  1055   800
> [28.08.2025 20:48:34] | [Info]    resized  1049   800
> [28.08.2025 20:48:34] | [Info]    resized  1037   800
> [28.08.2025 20:48:34] | [Info]    resized  1024   800
> [28.08.2025 20:48:34] | [Info]    resized  1000   800
> [28.08.2025 20:48:34] | [Info]    resized  970   800
> [28.08.2025 20:48:34] | [Info]    resized  936   800
> [28.08.2025 20:48:34] | [Info]    resized  895   800
> [28.08.2025 20:48:34] | [Info]    resized  852   800
> [28.08.2025 20:48:34] | [Info]    resized  807   800
> [28.08.2025 20:48:34] | [Info]    resized  765   800
> [28.08.2025 20:48:34] | [Info]    resized  725   800
> [28.08.2025 20:48:34] | [Info]    resized  689   800
> [28.08.2025 20:48:34] | [Info]    resized  655   800
> [28.08.2025 20:48:34] | [Info]    resized  622   800
> [28.08.2025 20:48:34] | [Info]    resized  594   800
> [28.08.2025 20:48:34] | [Info]    resized  565   800
> [28.08.2025 20:48:34] | [Info]    resized  541   800
> [28.08.2025 20:48:34] | [Info]    resized  520   800
> [28.08.2025 20:48:34] | [Info]    resized  502   800
> [28.08.2025 20:48:34] | [Info]    resized  489   800
> [28.08.2025 20:48:34] | [Info]    resized  477   800
> [28.08.2025 20:48:34] | [Info]    resized  469   800
> [28.08.2025 20:48:34] | [Info]    resized  462   800
> [28.08.2025 20:48:34] | [Info]    resized  456   800
> [28.08.2025 20:48:34] | [Info]    resized  454   800
> [28.08.2025 20:48:34] | [Info]    resized  452   800
> [28.08.2025 20:48:35] | [Info]    resized  453   800
> [28.08.2025 20:48:35] | [Info]    resized  457   800
> [28.08.2025 20:48:35] | [Info]    resized  462   800
> [28.08.2025 20:48:35] | [Info]    resized  469   800
> [28.08.2025 20:48:35] | [Info]    resized  479   800
